state,winner,party,gender,criminal cases,age,category,education,assets,liabilities,total electors,balance assets
0.7714285714285714,1,1.0,1.0,0.21666666666666667,0.4426229508196722,1.0,0.6666666666666666,0.00034629630771961406,0.0001495627070450366,0.46350356237746854,0.033360274166472616
0.7714285714285714,0,0.8666666666666667,1.0,0.0,0.47540983606557385,1.0,0.8888888888888888,0.002064527161862392,0.0005473303645156448,0.46350356237746854,0.03502171600176377
0.7714285714285714,0,0.9333333333333333,1.0,0.0125,0.4426229508196722,1.0,0.6666666666666666,0.004077125083966336,0.009886841295264895,0.46350356237746854,0.03542237640041665
1.0,1,1.0,1.0,0.020833333333333332,0.5409836065573771,0.5,1.0,0.008298608842262986,0.005561523994653974,0.6082150505117081,0.04042783067543107
1.0,0,0.7333333333333334,1.0,0.0,0.3606557377049181,0.5,0.8888888888888888,0.014947676740196475,0.014379144760557728,0.6082150505117081,0.045589545017846726
1.0,0,0.9333333333333333,0.0,0.0,0.47540983606557385,0.5,0.8888888888888888,0.006153592230265933,0.0,0.6082150505117081,0.03923581784417858
0.9142857142857143,1,1.0,1.0,0.0,0.19672131147540983,0.0,1.0,0.01884482676786458,0.0016956023289208138,0.5835653111151605,0.051723971206600876
0.9142857142857143,0,0.8666666666666667,1.0,0.004166666666666667,0.14754098360655743,0.0,0.7777777777777777,0.010557149662066485,0.02103320930605412,0.5835653111151605,0.040008246083377906
0.9142857142857143,0,0.5333333333333333,1.0,0.0,0.6065573770491803,0.0,0.7777777777777777,0.0015585162861046946,0.0009046782884556112,0.5835653111151605,0.034449792626322424
0.6857142857142857,1,1.0,1.0,0.0,0.5409836065573771,0.0,0.5555555555555556,0.008346166996341817,0.0040404076134263715,0.5675578749025888,0.040740650958454507
0.6857142857142857,0,0.9333333333333333,0.0,0.025,0.21311475409836067,0.0,0.4444444444444444,0.004511129579990296,0.0020173602089929364,0.5675578749025888,0.03723007786407109
0.6857142857142857,1,1.0,1.0,0.0,0.7213114754098362,0.5,0.8888888888888888,0.009996899201739667,0.0,0.5131064215844019,0.04310705306985001
0.6857142857142857,0,0.9333333333333333,1.0,0.0,0.7049180327868854,0.5,0.7777777777777777,0.029384632643058024,0.012241574777787475,0.5131064215844019,0.0605036879602428
0.6857142857142857,0,0.7333333333333334,1.0,0.0,0.6721311475409837,0.5,0.3333333333333333,0.0005982003151340265,0.0,0.5131064215844019,0.03364005642467836
0.7999999999999999,1,1.0,1.0,0.0,0.639344262295082,0.0,0.6666666666666666,0.009508387752197367,0.00537633634900711,0.5883954891629545,0.04167865286322595
0.7999999999999999,0,0.9333333333333333,1.0,0.0,0.24590163934426235,0.0,0.7777777777777777,0.09541688660965655,0.19774502293679008,0.5883954891629545,0.09470863279024927
0.7999999999999999,0,0.7333333333333334,1.0,0.0,0.5737704918032788,0.5,0.8888888888888888,0.004663644962539895,0.0005751169119467814,0.5883954891629545,0.037634881591146446
0.7999999999999999,0,0.8666666666666667,1.0,0.0,0.5737704918032788,0.5,0.8888888888888888,0.002881757282184106,0.00017363684249961786,0.5883954891629545,0.0359099669040073
1.0,1,1.0,1.0,0.0,0.639344262295082,0.0,0.4444444444444444,0.0031895022946227787,0.0003618486984250331,0.5527830225864941,0.036187169373060823
1.0,0,0.7333333333333334,0.0,0.0,0.34426229508196726,0.0,0.8888888888888888,0.015021931566538683,0.008800979854986391,0.5527830225864941,0.046635828628896925
1.0,0,0.9333333333333333,1.0,0.004166666666666667,0.5409836065573771,0.0,0.7777777777777777,0.0021337295753823438,0.0055573094862273265,0.5527830225864941,0.03421888692307173
0.9142857142857143,1,1.0,1.0,0.004166666666666667,0.5737704918032788,0.0,0.7777777777777777,0.008620300055959661,0.009683788838216143,0.5847843252806674,0.04003392884493018
0.9142857142857143,0,0.5333333333333333,1.0,0.0,0.639344262295082,0.0,0.7777777777777777,0.006561088318414077,0.0,0.5847843252806674,0.03964627509426846
0.9142857142857143,0,0.9333333333333333,1.0,0.004166666666666667,0.5737704918032788,0.0,0.4444444444444444,0.0016700550587972194,0.00031252434574087826,0.5847843252806674,0.03466527102613218
0.6285714285714286,1,0.6666666666666666,1.0,0.008333333333333333,0.47540983606557385,0.0,0.7777777777777777,0.0017059888645782272,0.0014350136251238398,0.4205039927317936,0.034505974025944096
0.6285714285714286,0,0.9333333333333333,0.0,0.0,0.4426229508196722,0.0,0.8888888888888888,0.0020855384730806455,0.0005331139914113423,0.4205039927317936,0.035045355909732685
0.6285714285714286,0,1.0,1.0,0.004166666666666667,0.639344262295082,0.0,1.0,0.0018418315082735935,0.0,0.4205039927317936,0.03489272474348809
0.6285714285714286,1,0.9333333333333333,0.0,0.0125,0.11475409836065575,0.5,0.4444444444444444,0.00012880367846312063,0.0,0.39145604505667625,0.033167248811812794
0.6285714285714286,0,0.6666666666666666,1.0,0.0,0.3114754098360656,0.5,1.0,0.0004561923200024609,0.00033562207484270494,0.39145604505667625,0.03343856479691538
0.6285714285714286,0,0.8666666666666667,1.0,0.016666666666666666,0.5901639344262295,0.5,0.4444444444444444,0.0001408971793801531,0.0004426461625657812,0.39145604505667625,0.033102339254982155
1.0,1,1.0,1.0,0.0,0.34426229508196726,0.0,0.4444444444444444,0.012236912459485433,0.018155068383956547,0.5918787098675207,0.042201470211562814
1.0,0,0.7333333333333334,1.0,0.0,0.42622950819672134,0.0,1.0,0.031491300637280985,0.0,0.5918787098675207,0.06475764840600214
1.0,0,0.9333333333333333,1.0,0.016666666666666666,0.6065573770491803,0.0,0.7777777777777777,0.0014371779330536016,0.002761229346880453,0.5918787098675207,0.034004236941355126
