state,constituency,winner,party,gender,criminal cases,age,category,education,assets,liabilities,total electors,balance assets,total_cons_per_state,total_voters_per_state,total_voters_per_cons
Telangana,NAGARKURNOOL,1,TRS,1,0,66.0,SC,7,10778684.0,0.0,1588111,10778684.0,74,127212819,5
Telangana,NAGARKURNOOL,0,INC,1,4,68.0,SC,7,265782483.0,18800000.0,1588111,246982483.0,74,127212819,5
Telangana,NAGARKURNOOL,0,BJP,0,0,43.0,SC,8,51701683.0,886328.0,1588111,50815355.0,74,127212819,5
Telangana,NAGARKURNOOL,0,BSP,1,0,53.0,SC,4,775000.0,0.0,1588111,775000.0,74,127212819,5
Telangana,NAGARKURNOOL,0,IND,1,0,45.0,SC,4,925000.0,32000.0,1588111,893000.0,74,127212819,5
Rajasthan,NAGAUR,1,RLTP,1,0,47.0,GENERAL,7,4218568.0,0.0,1933169,4218568.0,74,144688084,3
Rajasthan,NAGAUR,0,INC,0,0,47.0,GENERAL,7,650650190.0,97090675.0,1933169,553559515.0,74,144688084,3
Rajasthan,NAGAUR,0,IND,0,0,41.0,GENERAL,8,8324000.0,1200000.0,1933169,7124000.0,74,144688084,3
Uttar Pradesh,NAGINA,1,BSP,1,1,55.0,SC,6,28659644.0,9062600.0,1586117,19597044.0,251,458868319,3
Uttar Pradesh,NAGINA,0,BJP,1,0,56.0,SC,8,66352887.0,900000.0,1586117,65452887.0,251,458868319,3
Uttar Pradesh,NAGINA,0,INC,0,0,69.0,SC,4,37158570.0,0.0,1586117,37158570.0,251,458868319,3
Maharashtra,NAGPUR,1,BJP,1,4,62.0,GENERAL,7,187916075.0,40729055.0,2161096,147187020.0,175,321123079,4
Maharashtra,NAGPUR,0,INC,1,4,56.0,GENERAL,6,22160504.0,1155060.0,2161096,21005444.0,175,321123079,4
Maharashtra,NAGPUR,0,BSP,1,0,47.0,GENERAL,4,175000.0,0.0,2161096,175000.0,175,321123079,4
Maharashtra,NAGPUR,0,VBA,1,0,47.0,SC,7,4197060.0,0.0,2161096,4197060.0,175,321123079,4
Uttarakhand,NAINITAL-UDHAMSINGH NAGAR,1,BJP,1,0,57.0,GENERAL,7,19699529.0,0.0,1828433,19699529.0,14,22213158,3
Uttarakhand,NAINITAL-UDHAMSINGH NAGAR,0,INC,1,1,71.0,GENERAL,7,56735244.0,10712888.0,1828433,46022356.0,14,22213158,3
Uttarakhand,NAINITAL-UDHAMSINGH NAGAR,0,BSP,1,0,46.0,GENERAL,7,0.0,35352263.0,1828433,-35352263.0,14,22213158,3
Bihar,NALANDA,1,JD(U),1,0,60.0,GENERAL,6,29251651.0,2712389.0,2114809,26539262.0,218,384468939,6
Bihar,NALANDA,0,HAMS,1,0,46.0,GENERAL,6,56786845.0,1129071.0,2114809,55657774.0,218,384468939,6
Bihar,NALANDA,0,RAHIS,1,0,61.0,SC,2,4514580.0,1925.0,2114809,4512655.0,218,384468939,6
Bihar,NALANDA,0,SSD,1,0,60.0,GENERAL,8,3273000.0,0.0,2114809,3273000.0,218,384468939,6
Bihar,NALANDA,0,BSP,1,0,33.0,GENERAL,4,2562000.0,0.0,2114809,2562000.0,218,384468939,6
Bihar,NALANDA,0,IND,1,0,33.0,SC,7,592000.0,0.0,2114809,592000.0,218,384468939,6
Telangana,NALGONDA,1,INC,1,4,55.0,GENERAL,7,31501349.0,1200000.0,1585980,30301349.0,74,127212819,4
Telangana,NALGONDA,0,TRS,1,0,63.0,GENERAL,8,943184220.0,208178829.0,1585980,735005391.0,74,127212819,4
Telangana,NALGONDA,0,BJP,1,0,61.0,GENERAL,6,184577651.0,21781741.0,1585980,162795910.0,74,127212819,4
Telangana,NALGONDA,0,CPI(M),0,1,45.0,GENERAL,7,49866261.0,8538884.0,1585980,41327377.0,74,127212819,4
Tamil Nadu,NAMAKKAL,1,DMK,1,0,54.0,GENERAL,7,485205173.0,18642484.0,1413599,466562689.0,189,291486662,5
Tamil Nadu,NAMAKKAL,0,AIADMK,1,0,70.0,GENERAL,4,116009849.0,4281652.0,1413599,111728197.0,189,291486662,5
Tamil Nadu,NAMAKKAL,0,NTK,1,0,44.0,GENERAL,9,19918500.0,137800000.0,1413599,-117881500.0,189,291486662,5
Tamil Nadu,NAMAKKAL,0,MNM,1,0,57.0,GENERAL,7,6280106.0,260000.0,1413599,6020106.0,189,291486662,5
Tamil Nadu,NAMAKKAL,0,IND,1,0,54.0,GENERAL,6,36680249.0,3531974.0,1413599,33148275.0,189,291486662,5
Maharashtra,NANDED,1,BJP,1,0,57.0,GENERAL,6,52178606.0,594000.0,1719322,51584606.0,175,321123079,3
Maharashtra,NANDED,0,INC,1,3,60.0,GENERAL,8,500037964.0,48525290.0,1719322,451512674.0,175,321123079,3
Maharashtra,NANDED,0,VBA,1,0,42.0,GENERAL,9,8817999.0,2050000.0,1719322,6767999.0,175,321123079,3
Maharashtra,NANDURBAR,1,BJP,0,0,31.0,ST,8,271634532.0,15291251.0,1871099,256343281.0,175,321123079,4
Maharashtra,NANDURBAR,0,INC,1,0,61.0,ST,8,45236068.0,3237933.0,1871099,41998135.0,175,321123079,4
Maharashtra,NANDURBAR,0,VBA,1,0,33.0,ST,8,7030314.0,3500000.0,1871099,3530314.0,175,321123079,4
Maharashtra,NANDURBAR,0,IND,1,0,58.0,ST,7,42504576.0,5933112.0,1871099,36571464.0,175,321123079,4
Andhra Pradesh,NANDYAL,1,YSRCP,1,1,60.0,GENERAL,8,585932911.0,177035582.0,1603220,408897329.0,101,159256762,4
Andhra Pradesh,NANDYAL,0,TDP,1,0,57.0,GENERAL,7,348903562.0,68693655.0,1603220,280209907.0,101,159256762,4
Andhra Pradesh,NANDYAL,0,JnP,1,1,69.0,GENERAL,7,333760526.0,9594811.0,1603220,324165715.0,101,159256762,4
Andhra Pradesh,NANDYAL,0,INC,1,0,33.0,GENERAL,8,3305200.0,877441.0,1603220,2427759.0,101,159256762,4
Andhra Pradesh,NARASARAOPET,1,YSRCP,1,0,35.0,GENERAL,7,177710073.0,10142413.0,1670391,167567660.0,101,159256762,4
Andhra Pradesh,NARASARAOPET,0,TDP,1,0,75.0,GENERAL,7,437940180.0,1233171.0,1670391,436707009.0,101,159256762,4
Andhra Pradesh,NARASARAOPET,0,JnP,1,0,52.0,GENERAL,6,55264531.0,5468120.0,1670391,49796411.0,101,159256762,4
Andhra Pradesh,NARASARAOPET,0,BJP,1,0,64.0,GENERAL,7,391360844.0,22561506.0,1670391,368799338.0,101,159256762,4
Andhra Pradesh,NARSAPURAM,1,YSRCP,1,3,57.0,GENERAL,8,3259405378.0,1014467354.0,1439691,2244938024.0,101,159256762,5
Andhra Pradesh,NARSAPURAM,0,TDP,1,1,48.0,GENERAL,7,60940339.0,0.0,1439691,60940339.0,101,159256762,5
Andhra Pradesh,NARSAPURAM,0,JnP,1,0,58.0,GENERAL,7,367820773.0,21678798.0,1439691,346141975.0,101,159256762,5
Andhra Pradesh,NARSAPURAM,0,INC,1,1,71.0,GENERAL,4,143319558.0,0.0,1439691,143319558.0,101,159256762,5
Andhra Pradesh,NARSAPURAM,0,BJP,1,3,59.0,GENERAL,6,22392505.0,1242976.0,1439691,21149529.0,101,159256762,5
Maharashtra,NASHIK,1,SHS,1,1,48.0,GENERAL,5,146869996.0,41083126.0,1885064,105786870.0,175,321123079,4
Maharashtra,NASHIK,0,NCP,1,16,45.0,GENERAL,4,654659863.0,130481204.0,1885064,524178659.0,175,321123079,4
Maharashtra,NASHIK,0,IND,1,1,61.0,GENERAL,7,214414506.0,46737153.0,1885064,167677353.0,175,321123079,4
Maharashtra,NASHIK,0,VBA,1,8,38.0,GENERAL,5,9091869.0,0.0,1885064,9091869.0,175,321123079,4
Gujarat,NAVSARI,1,BJP,1,1,64.0,GENERAL,4,446044269.0,56846658.0,1971658,389197611.0,69,119028011,2
Gujarat,NAVSARI,0,INC,1,0,47.0,GENERAL,6,31846750.0,1659481.0,1971658,30187269.0,69,119028011,2
Bihar,NAWADA,1,LJP,1,2,36.0,GENERAL,7,176720167.0,4722200.0,1899747,171997967.0,218,384468939,4
Bihar,NAWADA,0,RJD,0,0,53.0,GENERAL,1,118431743.0,4849749.0,1899747,113581994.0,218,384468939,4
Bihar,NAWADA,0,IND,1,0,33.0,GENERAL,7,6288351.0,600000.0,1899747,5688351.0,218,384468939,4
Bihar,NAWADA,0,BSP,1,0,67.0,GENERAL,7,43439000.0,0.0,1899747,43439000.0,218,384468939,4
Andhra Pradesh,NELLORE,1,YSRCP,1,0,70.0,GENERAL,6,2211663364.0,152281255.0,1672845,2059382109.0,101,159256762,3
Andhra Pradesh,NELLORE,0,TDP,1,0,60.0,GENERAL,7,1654392880.0,680973688.0,1672845,973419192.0,101,159256762,3
Andhra Pradesh,NELLORE,0,CPI(M),1,2,67.0,GENERAL,4,2353200.0,240000.0,1672845,2113200.0,101,159256762,3
NCT OF Delhi,NEW DELHI,1,BJP,0,0,51.0,GENERAL,7,361441689.0,7938378.0,1617470,353503311.0,24,49380204,3
NCT OF Delhi,NEW DELHI,0,INC,1,0,55.0,GENERAL,8,245732926.0,0.0,1617470,245732926.0,24,49380204,3
NCT OF Delhi,NEW DELHI,0,AAP,1,0,43.0,GENERAL,7,9594156.0,3285554.0,1617470,6308602.0,24,49380204,3
Tamil Nadu,NILGIRIS,1,DMK,1,6,55.0,SC,7,49591024.0,1424914.0,1366060,48166110.0,189,291486662,4
Tamil Nadu,NILGIRIS,0,AIADMK,1,0,59.0,SC,7,12467318.0,0.0,1366060,12467318.0,189,291486662,4
Tamil Nadu,NILGIRIS,0,MNM,1,0,55.0,SC,7,56013763.0,810218.0,1366060,55203545.0,189,291486662,4
Tamil Nadu,NILGIRIS,0,IND,1,0,66.0,SC,8,56129105.0,0.0,1366060,56129105.0,189,291486662,4
Telangana,NIZAMABAD,1,BJP,1,1,43.0,GENERAL,8,876930468.0,337580746.0,1553385,539349722.0,74,127212819,3
Telangana,NIZAMABAD,0,TRS,0,2,41.0,GENERAL,7,179382394.0,90723181.0,1553385,88659213.0,74,127212819,3
Telangana,NIZAMABAD,0,INC,1,1,61.0,GENERAL,8,362049049.0,3509798.0,1553385,358539251.0,74,127212819,3
NCT OF Delhi,NORTH EAST DELHI,1,BJP,1,3,47.0,GENERAL,8,242817031.0,13618755.0,2290492,229198276.0,24,49380204,4
NCT OF Delhi,NORTH EAST DELHI,0,INC,0,0,81.0,GENERAL,8,49285773.0,0.0,2290492,49285773.0,24,49380204,4
NCT OF Delhi,NORTH EAST DELHI,0,AAP,1,1,38.0,GENERAL,8,5433393.0,0.0,2290492,5433393.0,24,49380204,4
